Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0490000000819000007;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;25.03.2020;Определение поставщика завершено;;23.01.2020;20.03.2020;;;;;
№0572100000222000004;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;11.11.2022;08.12.2022;Определение поставщика завершено;;;06.12.2022;;;;;
№32312672200;30.11.21.119: Суда морские пассажирские прочие;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РМП-СТРОЙ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РМП-СТРОЙ""";14.08.2023;18.08.2023;Закупка завершена;;;22.08.2023 12:00;;;;;
№32312670228;30.11.21.119: Суда морские пассажирские прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";14.08.2023;15.08.2023;Закупка завершена;;;22.08.2023 11:00;;;;;
№32514953432;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.06.2025;18.06.2025;Подача заявок;;18.06.2025;04.07.2025;;;;;
№0820500000822007308;77.34.1: Услуги по аренде и лизингу водных транспортных средств;77.34.10.000-00000001: Услуги по аренде и лизингу водных транспортных средств;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ПРИМОРСКОГО КРАЯ;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ПРИМОРСКОГО КРАЯ""";01.12.2022;19.12.2022;Определение поставщика завершено;;;19.12.2022;;;;;
№32615757232;30.11.33.195: Суда лоцмейстерские;30.11.33.195: Суда лоцмейстерские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;02.03.2026;22.04.2026;Подача заявок;;02.03.2026;29.04.2026;;;;;
№32514614530;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;14.03.2025;14.03.2025;Закупка завершена;;14.03.2025;25.03.2025;;;;;
№32414317218;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;11.12.2024;18.12.2024;Закупка завершена;;11.12.2024;25.12.2024;;;;;
№32414311141;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;10.12.2024;10.12.2024;Закупка завершена;;10.12.2024;20.12.2024;;;;;
№32414090396;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;16.10.2024;29.10.2024;Закупка завершена;;16.10.2024;05.11.2024;;;;;
№32313093685;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;15.12.2023;15.12.2023;Закупка завершена;;15.12.2023;27.12.2023;;;;;
№32312806984;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;28.09.2023;28.09.2023;Закупка завершена;;28.09.2023;06.10.2023;;;;;
№32312524784;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";;26.06.2023;26.06.2023;Закупка отменена;;26.06.2023;07.07.2023;;;;;
№32312377959;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПАТОЛОГИИ""";;12.05.2023;16.05.2023;Закупка завершена;;12.05.2023;29.05.2023;;;;;
