Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0490000000819000007;Открытый конкурс в электронной форме;"Суда пассажирские смешанного плавания ""река-море""";;'191772026182789010100100080083012000';;;5270000000.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";30.12.2019;25.03.2020;Определение поставщика завершено;;23.01.2020;20.03.2020;
44-ФЗ;№0572100000222000004;Электронный аукцион;Строительство головного гидрографического лоцмейстерского судна ледового класса Arc7;;'221781202209678380100100070013011000';;;7067180000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;11.11.2022;08.12.2022;Определение поставщика завершено;;;06.12.2022;
223-ФЗ;№32312672200;Иной способ;Запрос заявок (№ РМП 01-23) по выбору организации на право заключения договора на поставку автомобильно-пассажирского парома ;;;1;Поставка автомобильно-пассажирского парома;8454800.00;EUR;8454800.00;;;;30.11.21.119: Суда морские пассажирские прочие;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РМП-СТРОЙ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РМП-СТРОЙ""";14.08.2023;18.08.2023;Закупка завершена;;;22.08.2023 12:00;
223-ФЗ;№32312670228;Иной способ;Запрос заявок (№ ЦА 49-23) по выбору организации на право заключения договора на поставку автомобильно-пассажирского парома для нужд ФГУП «Росморпорт» (подача заявок в неэлектронной форме, в запечатанных конвертах) ;;;1;поставка автомобильно-пассажирского парома для нужд ФГУП «Росморпорт»;8150000.00;EUR;8150000.00;;;;30.11.21.119: Суда морские пассажирские прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";14.08.2023;15.08.2023;Закупка завершена;;;22.08.2023 11:00;
223-ФЗ;№32514953432;Прочие;Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт» (КУ 25-25);;;1;Выполнение работ по разработке проекта и строительству нового лоцманского катера с функцией разъездного катера для нужд Калининградского управления Северо-Западного бассейнового филиала ФГУП «Росморпорт» (КУ 25-25);247000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;18.06.2025;18.06.2025;Подача заявок;;18.06.2025;04.07.2025;
44-ФЗ;№0820500000822007308;Электронный аукцион;Оказание услуг лизинга по приобретению скоростного морского пассажирского катамарана;;'222253803058125380100101140017734244';;;1425486900.00;RUB;;;;;77.34.1: Услуги по аренде и лизингу водных транспортных средств;77.34.10.000-00000001: Услуги по аренде и лизингу водных транспортных средств;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО ХОЗЯЙСТВА ПРИМОРСКОГО КРАЯ;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ПРИМОРСКОГО КРАЯ""";01.12.2022;19.12.2022;Определение поставщика завершено;;;19.12.2022;
223-ФЗ;№32615757232;Прочие;Запрос котировок в электронной форме (№ ЦА 72-25) по выбору организации на право заключения договора на выполнение работ по проектированию и достройке лоцмейстерских судов стр. № 702 «Гидрограф Равдин» и стр. № 703 «Анатолий Климов» до требований проекта BLV04 для Северо-Западного и Азово-Черноморского бассейновых филиалов ФГУП «Росморпорт»;;;1;Выполнение работ по проектированию и достройке лоцмейстерских судов стр. № 702 «Гидрограф Равдин» и стр. № 703 «Анатолий Климов» до требований проекта BLV04 для Северо-Западного и Азово-Черноморского бассейновых филиалов ФГУП «Росморпорт» (ЦА 72-25);1299996000.00;RUB;;;;;30.11.33.195: Суда лоцмейстерские;30.11.33.195: Суда лоцмейстерские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;02.03.2026;22.04.2026;Подача заявок;;02.03.2026;29.04.2026;
223-ФЗ;№32514614530;Прочие;Поставка земкаравана в составе многочерпакового земснаряда проекта 1519 (или аналогичного) и трех самоходных грунтоотвозных шаланд проекта 81030 (или аналогичного) для нужд Махачкалинского филиала ФГУП «Росморпорт» (ЦА 07-25);;;1;Поставка земкаравана в составе многочерпакового земснаряда проекта 1519 (или аналогичного) и трех самоходных грунтоотвозных шаланд проекта 81030 (или аналогичного) для нужд Махачкалинского филиала ФГУП «Росморпорт» (ЦА 07-25);1010000000.00;RUB;;;;;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;14.03.2025;14.03.2025;Закупка завершена;;14.03.2025;25.03.2025;
223-ФЗ;№32414317218;Прочие;Запрос котировок в электронной форме (№ ЦА 71-24) по выбору организации на право заключения договора на выполнение работ по проектированию и строительству шести самоходных самораскрывающихся шаланд для нужд Азово-Черноморского бассейнового филиала ФГУП «Росморпорт»;;;1;Выполнение работ по проектированию и строительству шести самоходных самораскрывающихся шаланд для нужд Азово-Черноморского бассейнового филиала ФГУП «Росморпорт» (ЦА 71-24);6597638499.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;11.12.2024;18.12.2024;Закупка завершена;;11.12.2024;25.12.2024;
223-ФЗ;№32414311141;Прочие;выполнение работ по строительству буксира ледового класса Arc6 (ЦА 70-24);;;1;выполнение работ по строительству буксира ледового класса Arc6 (ЦА 70-24);3800000000.00;RUB;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;10.12.2024;10.12.2024;Закупка завершена;;10.12.2024;20.12.2024;
223-ФЗ;№32414090396;Прочие;Поставка двух буксиров с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт» (Ца 46-24);;;1;Поставка двух буксиров с азимутальными подруливающими устройствами для нужд Дальневосточного бассейнового филиала ФГУП «Росморпорт» (Ца 46-24);1428000000.00;RUB;;;;;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;16.10.2024;29.10.2024;Закупка завершена;;16.10.2024;05.11.2024;
223-ФЗ;№32313093685;Прочие;Выполнение работ по проектированию и строительству трех портовых буксиров с ледовым классом для нужд ФГУП «Росморпорт» (ЦА 66-23);;;1;Выполнение работ по проектированию и строительству трех портовых буксиров с ледовым классом для нужд ФГУП «Росморпорт» (ЦА 66-23);2834000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;15.12.2023;15.12.2023;Закупка завершена;;15.12.2023;27.12.2023;
223-ФЗ;№32312806984;Прочие;Запрос котировок в электронной форме (№ ЦА 53-23) по выбору организации на право заключения договора на приобретение двух буксиров для нужд Астраханского филиала ФГУП «Росморпорт»;;;1;приобретение двух буксиров для нужд Астраханского филиала ФГУП «Росморпорт» (№ ЦА 53-23);1193367420.00;RUB;;;;;30.11.32.111: Буксиры морские;30.11.32.111: Буксиры морские;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;28.09.2023;28.09.2023;Закупка завершена;;28.09.2023;06.10.2023;
223-ФЗ;№32312524784;Прочие;Поставка несамоходных сухогрузных барж;;;1;Поставка несамоходных сухогрузных барж;1150000000.00;RUB;;;;;"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"30.11.24.130: Суда сухогрузные смешанного плавания ""река - море""";"АКЦИОНЕРНОЕ ОБЩЕСТВО""МУРМАНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";;26.06.2023;26.06.2023;Закупка отменена;;26.06.2023;07.07.2023;
223-ФЗ;№32312377959;Прочие;Поставка теплохода медицинского назначения ;;;1;Поставка теплохода медицинского назначения ;1155000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПАТОЛОГИИ""";;12.05.2023;16.05.2023;Закупка завершена;;12.05.2023;29.05.2023;
223-ФЗ;№32312132141;Прочие;Поставка теплохода медицинского назначения ;;;1;Поставка теплохода медицинского назначения;1155000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПАТОЛОГИИ""";;17.02.2023;02.05.2023;Закупка отменена;;17.02.2023;12.05.2023;
44-ФЗ;№0573100002021000004;Открытый конкурс в электронной форме;"Выполнение строительных работ по объекту ""Строительство вспомогательного ледокола мощностью 12-14 МВт ледового класса  Icebreaker7 (2 ед.)""";;'211770235245477070100100050023011000';;;18533273300.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";10.05.2021;29.06.2021;Определение поставщика завершено;;10.05.2021;28.06.2021;
44-ФЗ;№0573100002021000011;Запрос предложений в электронной форме;Ледокол мощностью 18 МВт ледового класса Icebreaker7 для морских портов  Северо-Западного (Балтийского) бассейна;;'211770235245477070100100170013011000';;;10502621100.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";05.08.2021;29.09.2021;Определение поставщика завершено;;05.08.2021;18.08.2021;
44-ФЗ;№0573100002021000014;Электронный аукцион;"Выполнение строительных работ по объекту ""Ледокол мощностью 18 МВт ледового класса Icebreaker 7 для морских портов Северо-Западного (Балтийского) бассейна""";;'211770235245477070100100210013011000';;;10502621100.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";06.10.2021;25.10.2021;Определение поставщика завершено;;06.10.2021;22.10.2021;
44-ФЗ;№0573100002021000005;Открытый конкурс в электронной форме;"Выполнение строительных работ по объекту ""Ледокол мощностью 18 МВт ледового класса Icebreaker 7 для морских портов Северо-Западного (Балтийского) бассейна";;'211770235245477070100100060053011000';;;10502621100.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190-00000010: Ледокол;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";18.05.2021;26.07.2021;Определение поставщика завершено;;18.05.2021;14.07.2021;
44-ФЗ;№0573100002020000012;Открытый конкурс в электронной форме;Выполнение строительных работ по объекту «Ледокол мощностью 18 МВт ледового класса Icebreaker 7 для морских портов Северо-Западного (Балтийского) бассейна»;;'201770235245477070100100240013011000';;;8033958400.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";12.11.2020;22.12.2020;Определение поставщика завершено;;12.11.2020;07.12.2020;
44-ФЗ;№0573100002019000006;Открытый конкурс в электронной форме;Выполнение строительных работ по объекту «Строительство ледокола мощностью 18 МВт ледового класса Icebreaker7 для обеспечения круглогодичной работы замерзающих морских портов Дальневосточного бассейна»;;'191770235245477070100100060013011000';;;7549241400.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";09.08.2019;04.09.2019;Определение поставщика завершено;;12.08.2019;03.09.2019;
44-ФЗ;№0573100002020000003;Открытый конкурс в электронной форме;Выполнение строительных работ по объекту «Ледокол мощностью 18 МВт ледового класса Icebreaker7 для морских портов  Северо-Западного (Балтийского) бассейна»;;'201770235245477070100100140013011000';;;7309329900.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";01.04.2020;13.05.2020;Определение поставщика завершено;;01.04.2020;28.04.2020;
44-ФЗ;№0573100002018000011;Закупка у единственного поставщика (подрядчика, исполнителя);Выполнение строительных работ по объекту «Строительство парома для железнодорожной паромной переправы Усть-Луга – Балтийск. Строительство железнодорожного парома проекта CNF19M»;;'181770235245477070100100130003011000';;;5100000000.00;RUB;;;;;30.11.21.114: Паромы пассажирские морские;30.11.21.114: Паромы пассажирские морские;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";26.12.2018;26.12.2018;Определение поставщика завершено;;;;
44-ФЗ;№0373100024621000007;Открытый конкурс в электронной форме;Выполнение строительных работ по объекту «Строительство многофункциональных аварийно-спасательных судов ледового класса. Буксирно-спасательное судно ледового класса Arc4. Проект NE025»;;'211770727424977070100100010023011414';;;2600000000.00;RUB;;;;;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;ФЕДЕРАЛЬНОЕ АГЕНТСТВО МОРСКОГО И РЕЧНОГО ТРАНСПОРТА;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";02.06.2021;12.07.2021;Определение поставщика завершено;;02.06.2021;08.07.2021;
223-ФЗ;№31705502687;Открытый конкурс;Поставка многоцелевого судна;;;1;Поставка многоцелевого судна;10500000.00;USD;;;;;30.11.3: Суда рыболовные и прочие суда специального назначения;30.11.3: Суда рыболовные и прочие суда специального назначения;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;07.09.2017;07.09.2017;Закупка завершена;;07.09.2017;28.09.2017;
223-ФЗ;№31705107417;Открытый конкурс;Поставка многоцелевого аварийно-спасательного буксира;;;1;Поставка многоцелевого аварийно-спасательного буксира;6686666.67;USD;;;;;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;12.05.2017;26.05.2017;Закупка завершена;;12.05.2017;13.06.2017;
