Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0372200034823000029;Электронный аукцион;Поставка расходных материалов и товаров для обеспечения функционирования учреждения и обеспечения образовательного процесса в 2023 году.;;'232780505901778050100100410010000244';;;2135640.00;RUB;;;;;20.59.12.120: Составы химические, используемые в фотографии, не включенные в другие группировки;20.59.12.120-00000002: Картридж для электрографических печатающих устройств;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";10.11.2023;16.11.2023;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;;23.11.2023;
44-ФЗ;№0372200034823000031;Электронный аукцион;Оказание услуг по доставке периодических подписных изданий в 2024 году.;;'232780505901778050100100090010000244';;;420519.86;RUB;;;;;"58.14.11.190: Журналы печатные и периодические издания общего интереса прочие; 58.13.10.000: Газеты печатные";"58.14.11.190: Журналы печатные и периодические издания общего интереса прочие; 58.13.10.000: Газеты печатные";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";16.11.2023;16.11.2023;Подача заявок;Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%;16.11.2023;24.11.2023;
44-ФЗ;№0372200034823000030;Электронный аукцион;"Оказание услуг по обеспечению функционирования элементов системы передачи информации ""ЦАСПИ"" в 2024г.";;'232780505901778050100100180018020244';;;209200.08;RUB;;;;;80.20.10.000: Услуги систем обеспечения безопасности;80.20.10.000: Услуги систем обеспечения безопасности;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";13.11.2023;13.11.2023;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;13.11.2023;21.11.2023;
44-ФЗ;№0124200000623006782;Электронный аукцион;Поставка сварочных аппаратов ;;'232290201543229020100100100022790244';;;2800000.00;RUB;;;;;27.90.31.110: Машины и оборудование электрические для пайки мягким и твердым припоем и сварки;27.90.31.110-00000008: Сварочный аппарат;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""СЕВЕРОДВИНСКИЙ ТЕХНИКУМ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;12.10.2023;02.11.2023;Определение поставщика завершено;;12.10.2023;20.10.2023;
44-ФЗ;№0124200000623007016;Электронный аукцион;Поставка хлеба недлительного хранения;;'232290201625029020100100120010000244';;;1072215.00;RUB;;;;;"10.71.11.112: Хлеб недлительного хранения из ржаной и смеси ржаной и пшеничной муки; 10.71.11.111: Хлеб недлительного хранения из пшеничной муки";"10.71.11.110-00000002: Хлеб недлительного хранения; 10.71.11.110-00000004: Хлеб недлительного хранения";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ТЕХНИКУМ СУДОСТРОЕНИЯ И МАШИНОСТРОЕНИЯ""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;23.10.2023;01.11.2023;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%";23.10.2023;01.11.2023;
44-ФЗ;№0124200000623006994;Электронный аукцион;Изделия хлебобулочные сухарные;;'232290201625029020100100130011072000';;;76822.20;RUB;;;;;10.72.11.120: Изделия хлебобулочные сухарные;10.72.11.120-00000006: Сухари панировочные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ТЕХНИКУМ СУДОСТРОЕНИЯ И МАШИНОСТРОЕНИЯ""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;20.10.2023;31.10.2023;Определение поставщика завершено;Организациям инвалидов в соответствии со ст. 29 Закона № 44-ФЗ - 15%;20.10.2023;31.10.2023;
44-ФЗ;№0372200034823000028;Электронный аукцион;"Поставка оборудования для нужд СПб ГБПОУ КСиПТ в 2023 году в рамках федерального проекта ""Профессионалитет"".";;'232780505901778050100100380010000244';;;5000000.00;RUB;;;;;32.99.53.110: Оборудование для обучения трудовым процессам;32.99.53.110: Оборудование для обучения трудовым процессам;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";20.10.2023;31.10.2023;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";20.10.2023;30.10.2023;
44-ФЗ;№0372200034823000027;Запрос котировок в электронной форме;Выполнение работ по устройству ограждения мусорной площадки СПб ГБПОУ КСиПТ по адресу: СПб, ул. Кораблестроителей, д. 18, лит. А;;'232780505901778050100100390010000244';;;515992.09;RUB;;;;;43.39.19.190: Работы завершающие и отделочные в зданиях и сооружениях, прочие, не включенные в другие группировки;43.39.19.190: Работы завершающие и отделочные в зданиях и сооружениях, прочие, не включенные в другие группировки;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";18.10.2023;27.10.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;18.10.2023;25.10.2023;
44-ФЗ;№0124200000623006789;Электронный аукцион;Поставка молочных продуктов;;'232290201625029020100100110010000244';;;743273.00;RUB;;;;;"10.51.40.300: Творог; 10.51.30.111: Масло сладко-сливочное";"10.51.40.300-00000005: Творог; 10.51.30.110-00000004: Масло сливочное";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ТЕХНИКУМ СУДОСТРОЕНИЯ И МАШИНОСТРОЕНИЯ""";КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;12.10.2023;23.10.2023;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.10.2023;20.10.2023;
44-ФЗ;№0372200034823000026;Электронный аукцион;Поставка программно-аппаратных комплексов, рабочих станций и многофункциональных устройств  для нужд СПБ ГБПОУ КСиПТ в 2023г.;;'232780505901778050100100350060000244';;;7076970.50;RUB;;;;;"26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений; 26.20.15.160: Программно-аппаратные комплексы, созданные на машинах вычислительных электронных цифровых; 26.20.15.150: Автоматизированное рабочее место";"26.20.18.000-00000069: Многофункциональное устройство (МФУ); 26.20.18.000-00000068: Многофункциональное устройство (МФУ)";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОЛЛЕДЖ СУДОСТРОЕНИЯ И ПРИКЛАДНЫХ ТЕХНОЛОГИЙ""";29.09.2023;11.10.2023;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.09.2023;09.10.2023;
