Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32009131251;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Машина проявочная для интраоральных рентгеновских пленок;;;1;Машина проявочная для интраоральных рентгеновских пленок;1152836.67;RUB;;;;;26.51.66.125: Приборы радиационного неразрушающего контроля;26.51.66.125: Приборы радиационного неразрушающего контроля;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;05.05.2020;05.05.2020;Закупка завершена;;05.05.2020;15.05.2020;
223-ФЗ;№32009130911;Прочие;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования ;;;1;Антикоррозийное покрытие трубной и профильной продукции методом горячего оцинкования  ;1073400.00;RUB;;;;;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;25.61.11.190: Услуги по нанесению металлических покрытий прочими методами;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;02.05.2020;02.05.2020;Закупка завершена;;02.05.2020;15.05.2020;
223-ФЗ;№32009104792;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Специальная одежда;;;1;Специальная одежда;6411500.00;RUB;;;;;14.12.30.190: Одежда производственная и профессиональная прочая, не включенная в другие группировки;14.12.30.190: Одежда производственная и профессиональная прочая, не включенная в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;23.04.2020;30.04.2020;Закупка завершена;;23.04.2020;14.05.2020;
223-ФЗ;№32009093951;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Специальная обувь;;;1;Специальная обувь;3623433.34;RUB;;;;;15.20.32.129: Обувь специальная прочая, не включенная в другие группировки;15.20.32.129: Обувь специальная прочая, не включенная в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;20.04.2020;29.04.2020;Закупка завершена;;20.04.2020;11.05.2020;
223-ФЗ;№32009109892;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Источник бесперебойного питания;;;1;Источник бесперебойного питания;472843.14;RUB;;;;;26.20.40.110: Устройства и блоки питания вычислительных машин;26.20.40.110: Устройства и блоки питания вычислительных машин;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;27.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009113035;Прочие;"На выполнение строительно-монтажных и пусконаладочных работ, с поставкой оборудования, по строительству объекта: ""Строительство КЛ 0,4кВ протяженностью 1,654 км  для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: г. Санкт-Петербург, ул. Кронштадтская, д. 15, лит. А, ""Реконструкция ТП-36168 для технологического присоединения энергопринимающих устройств колледжа судостроения  (192140/1/8)";;;1;"На выполнение строительно-монтажных и пусконаладочных работ, с поставкой оборудования, по строительству объекта: ""Строительство КЛ 0,4кВ протяженностью 1,654 км  для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: г. Санкт-Петербург, ул. Кронштадтская, д. 15, лит. А, ""Реконструкция ТП-36168 для технологического присоединения энергопринимающих устройств колледжа судостроения и прикладных технологий заявителя СПбГКУ «ФКСР» по адресу: Санкт-Петербург, ул. Кронштадтская, д.15, лит. А"" ТЗ № 18-25049";24487518.00;RUB;;;;;42.22.22: Работы строительные по прокладке местных линий электропередачи и связи;42.22.22: Работы строительные по прокладке местных линий электропередачи и связи;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ ""ЛЕНЭНЕРГО""";;27.04.2020;27.04.2020;Закупка завершена;;27.04.2020;07.05.2020;
223-ФЗ;№32009110260;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Переносные компьютеры с дополнительной комплектацией;;;1;Переносные компьютеры с дополнительной комплектацией;843767.00;RUB;;;;;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;26.20.11.110: Ноутбуки, в том числе портативные в защищенном исполнении, предназначенные для работы в сложной среде эксплуатации;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009110096;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Многофункциональные устройства;;;1;Многофункциональные устройства;486566.66;RUB;;;;;26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;26.20.18.000: Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009110009;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Клиентская лицензия 1С:Предприятие 8ПРОФ на 100 рабочих мест;;;1;Клиентская лицензия 1С:Предприятие 8ПРОФ на 100 рабочих мест;360000.00;RUB;;;;;58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
223-ФЗ;№32009109569;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Персональные компьютеры;;;1;Персональные компьютеры;578581.66;RUB;;;;;26.20.15.000: Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода;26.20.15.000: Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;24.04.2020;24.04.2020;Закупка завершена;;24.04.2020;02.05.2020;
