Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика. исполнителя). подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота; Начальная (максимальная) цена контракта ;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация. осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0173100004515001740;Электронный аукцион;  Поставка десятиместного катера на воздушной подушке для нужд Министерства обороны Российской Федерации.;;;;;11 000 000,00;RUB;;;;;;;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;14.09.2015;30.09.2015;Определение поставщика завершено;;14.09.2015;30.09.2015;
44-ФЗ;№0335100004716000048;Электронный аукцион;  Поставка дизельного землесосного снаряда 400/40 ;;;;;6033333.33;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";11.08.2016;07.10.2016;Определение поставщика завершено;;11.08.2016;12.09.2016;
44-ФЗ;№0319300003418000667;Электронный аукцион;  Приобретение пассажирского водометного мелкосидящего катера для нужд Таймырского Долгано-Ненецкого муниципального района;;'183840101146084010100100300013011244';;;23 000 000,00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;УПРАВЛЕНИЕ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА И ПОТРЕБИТЕЛЬСКОГО РЫНКА АДМИНИСТРАЦИИ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;19.11.2018;19.12.2018;Определение поставщика завершено;;19.11.2018;04.12.2018;
44-ФЗ;№0373100064621000383;Закрытый аукцион; Закупка катера БЛ-860К (спецификация 2)                     для обеспечения государственных нужд в 2021 году;;'211770236131477020100100003403011211';;;62767508.07;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";25.05.2021;25.05.2021;Подача заявок;;26.05.2021;11.06.2021;
44-ФЗ;№0373100064616001131;Закупка у единственного поставщика (подрядчика. исполнителя); Закупка у единственного поставщика  пограничного сторожевого катера проекта 1496М1. шифр «Ламантин». для обеспечения государственных нужд  в 2016 году;;;;;649 225 380,00;RUB;;;;;30.11.10.000: Корабли военные;30.11.10.000: Корабли военные;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 55056""";19.12.2016;19.12.2016;Определение поставщика завершено;;;;
44-ФЗ;№0373100119821000001;Открытый конкурс в электронной форме;" Несамоходный землесос класса ""*О 2.0 (лед 10) А"" проекта № 4395";;'211770723151077070100100030013011414';;;3 662 800 000,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.04.2021;12.07.2021;Определение поставщика завершено;;15.04.2021;06.07.2021;
44-ФЗ;№0335100004716000049;Электронный аукцион; Поставка дизельного землесосного снаряда 800/40;;;;;15 110 000,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ ПО КАЛИНИНГРАДСКОЙ ОБЛАСТИ""";11.08.2016;07.10.2016;Определение поставщика завершено;;11.08.2016;13.09.2016;
223-ФЗ;№31401470600;Закупка у единственного поставщика (подрядчика. исполнителя); ПФ-471   ПФ-471;;;1;Строительство  Азимутального  буксира   Код ОКДП  3511131;;;;;;;;;"Открытое акционерное общество ""Восточный Порт""";;29.08.2014;29.08.2014;Закупка завершена;;29.08.2014;;
44-ФЗ;№0373100119820000003;Открытый конкурс в электронной форме; Выполнение работ по строительству объекта «Несамоходный землесос класса « X О 2.0 (лед 10) А» проекта №4395» в количестве 2 – х единиц;;'201770723151077070100100030013011414';;;1 641 758 700,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";28.05.2020;26.06.2020;Определение поставщика завершено;;28.05.2020;22.06.2020;
44-ФЗ;№0373100119818000002;Открытый конкурс;"""Земснаряды""строительство несамоходного многочерпакового шаландового земснаряда  класса ""Р1.2 (лед 10)А"" проекта 3409";;'181770723151077070100100060013011414';;;533 828 100,00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";11.05.2018;09.06.2018;Определение поставщика завершено;;10.05.2018;01.06.2018;
